feature_name,number
tfidf_matchbullets_stringonly_num,395
nn_important_in_title_num,133
pd_at__unigram_dice_dist,490
tfidf_nn_unimportant_in_description_let,410
wordFor_in_description_string_only_let,160
title_lchsimilarity_max,360
len_of_query_before2thekey,45
nn_important_in_nn_unimportant_in_description_sum,200
title_ressimilarity_max,362
st_tfidf_8.1,457
beforethekeys_lchsimilarity_max,312
pd_at__fourgram_dice_dist,508
query_brand_in_brand_convoluted,75
pt_at__triterm_dice_dist,518
len_of_product_title_beforethekey,44
ab_at_bigram_tfidf,592
st_tfidf_9.1,458
keyword_in_description_let,274
two_words_in_bullets_string_only_sum,235
beforethekey_thekey_pathsimilarity_mean,335
query_material_in_all_convoluted,97
common_digits_in_bullets_ratio,239
st_pt_fourgram_tfidf,556
query_material_in_all_fullmatch,93
nn_important_in_description_let,189
len_of_materials_in_product_description,29
pt_at__bigram_jaccard_coef,529
before2thekey_thekey_lchsimilarity_mean,343
len_of_brands_in_product_title,23
wordWith_in_title_string_only_let,105
common_digits_in_title_jaccard,132
st_pd__biterm_jaccard_coef,544
len_of_meaningful_words_in_query,4
st_at__unigram_dice_dist,487
pd_at__trigram_jaccard_coef,536
vbg_in_vbg_in_title_sum,157
is_replaced_using_google_dict,3
st_tfidf_10.1,459
vbg_in_vbg_in_bullets_num,264
description_similarity_11-20rel,432
thekeys_ressimilarity_mean,309
len_of_materials_in_attribute_bullets,33
query_brand_in_title_nomatch,84
jj_rb_in_jj_rb_in_title_num,153
st_pd__unigram_dice_dist,486
nn_important_in_nn_unimportant_in_title_num,145
ratio_of_jj_rb_in_product_title,56
word_in_title_sum,112
thekey_in_nn_important_in_bullets_let,298
beforethekeys_thekey_pathsimilarity_max,346
pd_at_fourgram_tfidf,590
tfidf_title_querythekey_let,398
st_pt__unigram_dice_dist,485
seqmatch_desc&bullets_ratio,382
len_of_product_title_thekey,42
word_in_description_string_only_num,171
jj_rb_in_jj_rb_in_description_sum,208
keyword_in_bullets_sum,278
tfidf_nn_unimportant_in_title_num,406
st_at_trigram_tfidf,569
seqmatch_desc&bullets_ratioscaled,383
nn_unimportant_in_description_num,192
thekeys_ressimilarity_max,308
st_at__fourgram_jaccard_coef,539
st_pd_fourgram_tfidf,562
nn_important_in_nn_unimportant_in_title_let,147
pd_ab_trigram_tfidf,585
st_tfidf_6,443
pt_ab_unigram_tfidf,575
ratio_of_vb_in_search_term,49
word2vec_17,478
before2thekey_beforethekey_lchsimilarity_mean,367
tfidf_nn_important_in_description_num,401
two_words_in_description_num,177
word_in_title_string_only_letratio,120
word2vec_1,462
nn_important_in_nn_important_in_description_letratio,198
word2vec_8,469
beforethekeys_ressimilarity_max,314
word_in_description_numratio,169
word_in_bullets_string_only_sum,226
ratio_of_nn_unimportant_in_product_title,53
nn_important_in_description_sum,188
word_in_title_letratio,115
ratio_of_nn_unimportant_in_product_description,58
word_in_title_numratio,114
size_of_brands_in_product_description,28
st_tfidf_4,441
pt_at_trigram_tfidf,581
len_of_brands_in_query,19
keyword_in_description_numratio,275
st_tfidf_7.1,456
thekey_in_nn_important_in_bullets_sum,297
query_brand_in_brand_partialmatch,72
wordWith_in_bullets_string_only_let,217
ratio_of_nn_important_in_product_description,57
query_brand_in_brand_assumedmatch,73
beforethekeys_thekey_ressimilarity_mean,351
ratio_of_vb_in_product_description,59
wordFor_in_bullets_string_only_num,213
before2thekey_thekey_lchsimilarity_max,342
len_of_product_title_before2thekey,46
seqmatch_bullets_ratio,380
nn_important_in_nn_important_in_description_let,197
len_of_query,35
pd_at_bigram_tfidf,588
tfidf_jj_rb_in_title_let,421
two_words_in_bullets_string_only_let,236
nn_important_in_description_letratio,191
beforethekey_thekey_ressimilarity_mean,339
st_pd__biterm_dice_dist,510
pt_at__fourgram_jaccard_coef,541
nn_important_in_nn_unimportant_in_bullets_let,255
thekey_beforethekeys_ressimilarity_mean,333
st_at__triterm_dice_dist,516
description_similarity_20,426
common_digits_in_title_ratio,131
pt_at__trigram_dice_dist,501
pt_pd_fourgram_tfidf,574
description_similarity_21-30,429
pt_pd__unigram_dice_dist,488
keyword_in_description_letratio,276
st_at__bigram_jaccard_coef,527
query_brand_in_all_assumedmatch,78
st_at__bigram_dice_dist,493
st_tfidf_11.1,460
len_of_prtitle_without,12
tfidf_jj_rb_in_description_num,419
len_of_materials_in_product_title,25
jj_rb_in_jj_rb_in_bullets_sum,262
word_in_bullets_sum,221
nn_unimportant_in_nn_important_in_bullets_num,257
thekey_before2thekey_ressimilarity_max,326
word2vec_9,470
thekey_in_description_let,288
query_brand_in_description_convoluted,86
pt_pd__biterm_dice_dist,512
word2vec_4,465
jj_rb_in_jj_rb_in_title_sum,154
query_material_in_description_convoluted,99
thekey_before2thekey_pathsimilarity_max,322
nn_unimportant_in_nn_important_in_title_num,149
query_pathsimilarity_max,352
st_pt_unigram_tfidf,553
word2vec_16,477
st_tfidf_7,444
pd_at_trigram_tfidf,589
nn_important_in_title_numratio,136
len_of_product_title_keys,40
tfidf_matchbullets_num,392
beforethekey_in_bullets_let,294
ratio_of_vbg_in_product_description,60
thekeys_lchsimilarity_mean,307
word_in_bullets_numratio,223
thekeys_in_bullets,286
vbg_in_vbg_in_bullets_sum,265
len_of_digits_in_title,129
before2thekey_thekey_pathsimilarity_max,340
title_ressimilarity_mean,363
