feature_name,number
wordFor_in_title_string_only_letratio,103
two_words_in_description_string_only_sum,181
pt_pd__unigram_dice_dist,488
beforethekeys_pathsimilarity_max,310
keyword_in_description_num,272
beforethekey_before2thekey_lchsimilarity_max,372
beforethekey_thekey_ressimilarity_max,338
pt_pd__triterm_dice_dist,517
beforethekeys_thekey_ressimilarity_max,350
tfidf_vbg_in_description_let,416
beforethekey_before2thekey_pathsimilarity_mean,371
st_at__trigram_dice_dist,499
nn_important_in_nn_unimportant_in_description_num,199
size_of_brands_in_product_description,28
pd_at_unigram_tfidf,587
seqmatch_desc&bullets_ratioscaled,383
st_tfidf_8.1,457
st_pd__fourgram_dice_dist,504
query_material_in_description_convoluted,99
pd_at__bigram_jaccard_coef,530
pt_at_unigram_tfidf,579
tfidf_jj_rb_in_bullets_let,423
vbg_in_vbg_in_title_sum,157
no_bullets_dummy,2
pt_ab_fourgram_tfidf,578
st_pd__biterm_dice_dist,510
st_pt_fourgram_tfidf,556
thekey_before2thekey_ressimilarity_max,326
before2thekey_thekey_pathsimilarity_max,340
len_of_materials_in_query,21
query_lchhsimilarity_max,354
query_brand_in_brand_convoluted,75
query_in_description,165
tfidf_nn_unimportant_in_title_num,406
word_in_description_string_only_let,173
len_of_brands_in_product_title,23
st_at__bigram_jaccard_coef,527
beforethekey_thekey_pathsimilarity_max,334
thekeys_lchsimilarity_mean,307
common_digits_in_description_jaccard,186
perc_digits_in_description,69
title_pathsimilarity_mean,359
word_in_description_string_only_num,171
st_at__fourgram_dice_dist,505
st_tfidf_7.1,456
query_brand_in_all_nomatch,79
jj_rb_in_jj_rb_in_title_sum,154
pt_pd_fourgram_tfidf,574
description_similarity_11-20,427
query_brand_in_all_fullmatch,76
vbg_in_vbg_in_description_sum,211
tfidf_vbg_in_bullets_let,417
st_pd__triterm_dice_dist,515
st_at__trigram_jaccard_coef,533
seqmatch_title_ratioscaled,377
query_brand_in_all_convoluted,80
len_of_attribute_bullets_woBM,18
st_tfidf_7,444
tfidf_nn_important_in_title_num,400
nn_important_in_title_let,135
two_words_in_bullets_num,231
st_at__triterm_jaccard_coef,550
description_similarity_11-20to10,435
tfidf_nn_important_in_bullets_let,405
tfidf_jj_rb_in_title_num,418
two_words_in_description_let,179
nn_important_in_nn_important_in_title_letratio,144
len_of_product_title_woBM,16
query_pathsimilarity_max,352
vbg_in_vbg_in_bullets_sum,265
st_tfidf_5.1,454
two_words_in_description_string_only_num,180
query_brand_in_title_fullmatch,81
pt_pd__bigram_jaccard_coef,528
wordWith_in_bullets_string_only_letratio,218
pd_at__trigram_dice_dist,502
two_words_in_bullets_let,233
st_at__biterm_jaccard_coef,545
st_tfidf_1,438
len_of_query_woBM,9
beforethekey_in_bullets_sum,293
wordWith_in_title_string_only_num,104
size_of_brands_in_product_title,24
beforethekey_before2thekey_ressimilarity_mean,375
nn_unimportant_in_title_num,138
thekey_before2thekey_pathsimilarity_mean,323
nn_important_in_nn_important_in_bullets_letratio,252
beforethekeys_ressimilarity_mean,315
seqmatch_desc&bullets_ratio,382
len_of_product_title_keys,40
thekey_in_bullets_sum,289
word_in_description_numratio,169
tfidf_title_querybeforethekey_num,397
nn_important_in_nn_important_in_bullets_let,251
query_brand_in_bullets_convoluted,87
pd_at__fourgram_dice_dist,508
nn_important_in_nn_important_in_title_sum,142
beforethekeys_thekey_lchsimilarity_max,348
word_in_bullets_let,222
st_tfidf_6.1,455
ratio_of_nn_unimportant_in_search_term,48
keyword_in_titlekeys_jaclet,283
query_brand_in_brand_partialmatch,72
st_pt__fourgram_jaccard_coef,537
ratio_of_nn_unimportant_in_attribute_bullets,63
st_at__unigram_dice_dist,487
word_in_bullets_string_only_num,225
beforethekey_in_bullets_let,294
beforethekey_thekey_pathsimilarity_mean,335
nn_unimportant_in_nn_important_in_description_num,203
word_in_description_string_only_letratio,175
before2thekey_beforethekey_lchsimilarity_max,366
thekeys_in_title,284
wordFor_in_bullets_string_only_letratio,215
len_of_product_title_thekey,42
initial_len_of_query,8
word2vec_13,474
vbg_in_vbg_in_title_let,158
pt_ab_bigram_tfidf,576
query_brand_in_description_convoluted,86
avg_wordlength_in_query,6
tfidf_nn_unimportant_in_title_let,409
seqmatch_bullets_ratio,380
query_material_in_all_fullmatch,93
jj_rb_in_jj_rb_in_bullets_let,263
word_in_bullets_string_only_letratio,229
st_tfidf_9,446
len_of_query_keys,39
beforethekeys_thekey_pathsimilarity_max,346
nn_unimportant_in_description_letratio,194
thekey_before2thekey_pathsimilarity_max,322
word2vec_22,483
pd_ab_unigram_tfidf,583
word2vec_6,467
pd_at_trigram_tfidf,589
st_pd__bigram_jaccard_coef,526
word2vec_17,478
st_pd__biterm_jaccard_coef,544
word_in_bullets_num,220
query_material_in_all_assumedmatch,95
keyword_in_bullets_num,277
pt_pd__trigram_dice_dist,500
word_in_description_let,168
size_of_brands_in_attribute_bullets,32
size_of_materials_in_query,22
pt_pd__biterm_jaccard_coef,546
nn_unimportant_in_nn_important_in_description_sum,204
nn_unimportant_in_title_letratio,140
pt_at__triterm_jaccard_coef,552
jj_rb_in_jj_rb_in_description_let,209
query_brand_in_title_partialmatch,82
pt_at__triterm_dice_dist,518
st_pt__fourgram_dice_dist,503
len_of_query_beforethekey,43
word_in_title_string_only_letratio,120
jj_rb_in_jj_rb_in_title_let,155
jj_rb_in_jj_rb_in_description_num,207
