feature_name,number
word_in_description_string_only_letratio,56
query_brand_in_title_convoluted,57
st_pt_trigram_tfidf,197
nn_important_in_title_let,190
above8_dummy_frequency_of_beforethekey_thekey,179
beforethekeys_pathsimilarity_max,74
word2vec_7,77
word2vec_12,189
2word_dld_in_pts,167
nn_important_in_nn_unimportant_in_description_num,51
word2vec_21,75
st_pt__biterm_jaccard_coef,63
description_similarity_21-30rel,192
nn_important_in_nn_important_in_title_num,133
nn_unimportant_in_nn_important_in_description_letratio,27
1word_dld_in_pds,120
query_brand_in_all_fullmatch,65
query_brand_in_title_fullmatch,21
st_tfidf_6.1,98
two_words_in_description_num,156
nn_unimportant_in_title_letratio,93
tfidf_title_querythekey_num,101
tfidf_matchtitle_num,124
len_of_brands_in_query,12
2word_string_dld_in_pt,11
nn_unimportant_in_nn_important_in_description_num,201
keyword_in_titlekeys_let,135
word_in_title_string_only_sum,114
nn_important_in_nn_important_in_title_letratio,187
description_similarity_10,66
query_brand_in_all_convoluted,155
two_words_in_description_sum,151
2word_dld_in_pt,142
beforethekeys_lchsimilarity_max,157
beforethekeys_lchsimilarity_mean,158
two_words_in_description_string_only_sum,122
nn_important_in_nn_important_in_description_letratio,173
seqmatch_description_ratioscaled,53
word_in_title_string_only_let,193
thekey_in_thekey,175
2word_string_dld_in_ats,137
st_pd_unigram_tfidf,61
